CategoryName,Name,Price,Grams,Cost/gram(USD),Cost/gram(HKD),URL
Fantasia,Fantasia Shisha 50g,4.99,50,10.02,1.28,https://www.hookah-shisha.com/p-3218-fantasia-shisha-50.html
Fantasia,Fantasia Shisha 100g,9.99,100,10.01,1.28,https://www.hookah-shisha.com/p-13936-fantasia-hookah-tobacco-100.html
Fantasia,Fantasia Shisha 200g,18.99,200,10.53,1.35,https://www.hookah-shisha.com/p-2323-fantasia-hookah-tobacco-200.html
Fantasia,Fantasia Shisha Super Pack - 3 200g Jars,51.27,600,11.7,1.5,https://www.hookah-shisha.com/p-2324-fantasia-hookah-tobacco-jars.html
Fantasia,Fantasia Shisha 1000g,74.99,1000,13.34,1.71,https://www.hookah-shisha.com/p-8630-fantasia-hookah-tobacco-1000.html
Trifecta Blonde,Trifecta Blonde Shisha Tobacco 100g,10.99,100,9.1,1.17,https://www.hookah-shisha.com/p-24689-trifecta-hookah-shisha-tobacco-100.html
Trifecta Blonde,Trifecta Blonde Shisha Tobacco 250g,17.99,250,13.9,1.78,https://www.hookah-shisha.com/p-21737-trifecta-hookah-shisha-tobacco-250g.html
Trifecta Blonde,Trifecta Blonde Shisha Tobacco - 3 x 250g ,48.57,750,15.44,1.98,https://www.hookah-shisha.com/p-22062-trifecta-hookah-shisha-tobacco-250g-super-pack.html
Trifecta Blonde,Trifecta Blonde Shisha Tobacco 1000g,69.99,1000,14.29,1.83,https://www.hookah-shisha.com/p-21738-trifecta-hookah-shisha-tobacco-1000g.html
Trifecta Dark,Trifecta Dark Blend Shisha Tobacco 250g,19.99,250,12.51,1.6,https://www.hookah-shisha.com/p-21735-trifecta-dark-blend-hookah-tobacco-250g.html
Trifecta Dark,Trifecta Dark Blend Super Pack - 3 x250g,53.97,750,13.9,1.78,https://www.hookah-shisha.com/p-22061-trifecta-dark-blend-250g-super-pack.html
Trifecta Dark,Trifecta Dark Blend Shisha Tobacco 1000g,64.99,1000,15.39,1.97,https://www.hookah-shisha.com/p-21736-trifecta-dark-blend-hookah-tobacco-1000g.html
Azure Blonde,Azure Gold Line Shisha Tobacco 100g,8.99,100,11.12,1.43,https://www.hookah-shisha.com/p-23940-azure-gold-line-100g.html
Azure Blonde,Azure Gold Line Shisha Tobacco 250,17.99,250,13.9,1.78,https://www.hookah-shisha.com/p-23011-azure-gold-line-250.html
Azure Blonde,Azure Gold Line Super Pack- 3 x 250g,48.57,750,15.44,1.98,https://www.hookah-shisha.com/p-23026-azure-gold-line-super-pack-250.html
Azure Blonde,Azure Gold Line Shisha Tobacco 1000g,64.99,1000,15.39,1.97,https://www.hookah-shisha.com/p-24925-azure-gold-line-shisha-tobacco-1000g.html
Azure Dark,Azure Black Line Shisha Tobacco 100g,9.99,100,10.01,1.28,https://www.hookah-shisha.com/p-23941-azure-black-line-100g.html
Azure Dark,Azure Dark Line Shisha Tobacco 250,19.99,250,12.51,1.6,https://www.hookah-shisha.com/p-23014-azure-dark-line-250g.html
Azure Dark,Azure Black Line Super Pack- 3 x 250g,53.97,750,13.9,1.78,https://www.hookah-shisha.com/p-23027-azure-black-line-super-pack-250.html
Azure Dark,Azure Dark Line Shisha Tobacco 1000g,64.99,1000,15.39,1.97,https://www.hookah-shisha.com/p-24930-azure-black-line-dark-shisha-tobacco-1000g.html
Nirvana,Nirvana Super Shisha Tobacco 100g,9.99,100,10.01,1.28,https://www.hookah-shisha.com/p-14209-nirvana-super-shisha-hookah-tobacco-100g.html
Nirvana,Nirvana Super Shisha Tobacco 100g Super Pack,25.47,300,11.78,1.51,https://www.hookah-shisha.com/p-21841-nirvana-super-shisha-hookah-tobacco-100g-super-pack.html
Nirvana Dark,Nirvana Eclipse Dark Leaf Super Shisha Tobacco 100g,10.99,100,9.1,1.17,https://www.hookah-shisha.com/p-23764-nirvana-eclipse-dak-leaf-hookah-tobacco-100g.html
Nirvana Dark,Nirvana Eclipse Dark Leaf Super Shisha Tobacco 100g Super Pack,29.67,300,10.11,1.3,https://www.hookah-shisha.com/p-24295-nirvana-eclipse-dak-leaf-tobacco-super-pack-100g.html
Ugly,Ugly Hookah Shisha 100g,8.99,100,11.12,1.43,https://www.hookah-shisha.com/p-21902-ugly-hookah-flavors-shisha-100g.html
Ugly,Ugly Hookah Shisha 250g,17.99,250,13.9,1.78,https://www.hookah-shisha.com/p-21901-ugly-hookah-flavors-shisha-250g.html
Ugly,Ugly Hookah Shisha 500g,29.99,500,16.67,2.14,https://www.hookah-shisha.com/p-22915-ugly-hookah-flavors-shisha-500g.html
Ugly,Ugly Hookah Shisha Super Pack - 3 x 250g,48.57,750,15.44,1.98,https://www.hookah-shisha.com/p-22323-ugly-hookah-shisha-250g-superpack.html
Pure,Pure Tobacco Shisha 100g,9.99,100,10.01,1.28,https://www.hookah-shisha.com/p-20819-pure-hookah-tobacco-flavors-100.html
Pure,Pure Shisha 250g,19.99,250,12.51,1.6,https://www.hookah-shisha.com/p-20820-pure-hookah-tobacco-flavors-%20250g.html
Pure,Pure Shisha Super Pack - 3 X 250g,53.97,750,13.9,1.78,https://www.hookah-shisha.com/p-20828-pure-tobacco-250-super-pack.html
Pure,Pure Tobacco Shisha 1000g,74.99,1000,13.34,1.71,https://www.hookah-shisha.com/p-22849-pure-hookah-tobacco-flavors-1000g.html
Zomo Blonde,Zomo Tobacco World Experience - 50g - Blonde Leaf,4.99,50,10.02,1.28,https://www.hookah-shisha.com/p-22272-zomo-hookah-tobacoo-world-experience-50g.html
Zomo Blonde,Zomo Tobacco World Experience - 250g - Blonde Leaf,19.99,250,12.51,1.6,https://www.hookah-shisha.com/p-23992-zomo-hookah-tobacoo-world-experience-250g.html
Zomo Dark,Zomo Tobacco Strong Line 50g - Dark Leaf,4.99,50,10.02,1.28,https://www.hookah-shisha.com/p-22271-zomo-hookah-tobacoo-strong-line-50g.html
